access_table,web_entity,access_column,crm_field,type,direction,decision,conflict_rule,cursor_column,notes
tbl_Property_Details,unit / booking record,REGISTRATION_DOCUMENT_NUMBER,registration_document_number,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,REGISTRATION_DOCUMENT_STATUS,registration_document_status,int,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,REGISTRATION_REMARKS,registration_remarks,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,INTERIOR_HANDOVER_DATE,interior_handover_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,POSSESSION_HANDOVER_DATE,possession_handover_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_Property_Details,unit / booking record,POSSESSION_REMARK,possession_remark,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,ID,id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,PROPERTY_DETAILS_ID,property_details_id,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,DESCRIPTION,description,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,PERCENTAGE,percentage,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,CUMULATIVE_PCT,cumulative_pct,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,SCHEDULE_DATE,schedule_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,DUE_DATE,due_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,AMOUNT,amount,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,AMOUNT_RCVD,amount_rcvd,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,MILESTONE_STATUS_ID,milestone_status_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,MILESTONE_NO,milestone_no,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,INSERT_ID,insert_id,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,IS_ACTIVE,is_active,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,CREATED_BY,created_by,str,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,MODIFIED_BY,modified_by,str,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyDetailsPaymentSchedule,payment schedule / milestones,key,key,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,RECEIPT_ID,receipt_id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_Other_Charges_Receipts,payment receipts,PROPERTY_DETAILS_ID,property_details_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,OTHER_CHARGES_ID,other_charges_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,RECEIPT_NO,receipt_no,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,TRANSACTION_DATE,transaction_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,VOUCHER_REF,voucher_ref,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,TRANSACTION_MODE,transaction_mode,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,TRANSACTION_NO,transaction_no,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,BANK_NAME,bank_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,SOURCE,source,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,TRANSACTION_TYPE,transaction_type,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,BASE_AMOUNT,base_amount,Decimal,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,GST_AMOUNT,gst_amount,Decimal,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,TOTAL_AMOUNT,total_amount,Decimal,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,REMARKS,remarks,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,IS_AUTO_ADJUSTED,is_auto_adjusted,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Other_Charges_Receipts,payment receipts,CREATED_BY,created_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Other_Charges_Receipts,payment receipts,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Other_Charges_Receipts,payment receipts,MODIFIED_BY,modified_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Other_Charges_Receipts,payment receipts,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_DocumentRecord,generated docs (CPP/eSign ref),ID,id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_DocumentRecord,generated docs (CPP/eSign ref),PROPERTY_DETAILS_ID,property_details_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_DocumentRecord,generated docs (CPP/eSign ref),DOCUMENT_TYPE_ID,document_type_id,float,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_DocumentRecord,generated docs (CPP/eSign ref),GENRATION_DATE,genration_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_DocumentRecord,generated docs (CPP/eSign ref),COMMENTS,comments,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_DocumentRecord,generated docs (CPP/eSign ref),PATH,path,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_DocumentRecord,generated docs (CPP/eSign ref),GENERATED_BY,generated_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_DocumentRecord,generated docs (CPP/eSign ref),MODIFIED_BY,modified_by,float,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_DocumentRecord,generated docs (CPP/eSign ref),MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyMilestones,construction milestone (site-updated),ID,id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_PropertyMilestones,construction milestone (site-updated),Project,project,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyMilestones,construction milestone (site-updated),SUB_PROJECT,sub_project,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyMilestones,construction milestone (site-updated),MILESTONE,milestone,str,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyMilestones,construction milestone (site-updated),PLAN_DATE,plan_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyMilestones,construction milestone (site-updated),ACTUAL_DATE,actual_date,datetime,access->web,candidate,newest-wins,MODIFIED_DATE,possible Access-origin event - confirm with client (newest-wins)
tbl_PropertyMilestones,construction milestone (site-updated),IS_ACTIVE,is_active,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyMilestones,construction milestone (site-updated),MODIFIED_BY,modified_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyMilestones,construction milestone (site-updated),MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyMilestones,construction milestone (site-updated),CREATED_BY,created_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyMilestones,construction milestone (site-updated),CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
